accelerometer,gyroscope,overall_angle,time
"{'x': 5.899312890625, 'y': 0.20829554443359374, 'z': 6.924031201171875}","{'x': -1.0687022900763359, 'y': -0.22137404580152673, 'z': -0.8473282442748091}",50.20376344284178,2025-04-17 13:32:45.337704
"{'x': 5.882553479003906, 'y': 0.18435352783203124, 'z': 6.782773303222656}","{'x': -0.9007633587786259, 'y': -0.3053435114503817, 'z': -1.0534351145038168}",50.292427496835955,2025-04-17 13:32:55.351854
"{'x': 5.786785412597656, 'y': 0.201112939453125, 'z': 7.086836914062499}","{'x': -0.9923664122137404, 'y': -0.3053435114503817, 'z': -1.16793893129771}",50.378101942742944,2025-04-17 13:33:05.358766
"{'x': 5.710170959472656, 'y': 0.19153613281249998, 'z': 7.173028173828125}","{'x': -1.0687022900763359, 'y': -0.1984732824427481, 'z': -1.1374045801526718}",50.42376182745961,2025-04-17 13:33:15.365083
"{'x': 5.698199951171874, 'y': 0.21787235107421873, 'z': 7.000645654296875}","{'x': -1.0610687022900764, 'y': -0.24427480916030533, 'z': -1.1145038167938932}",50.496143080268716,2025-04-17 13:33:25.371411
"{'x': 5.894524487304687, 'y': 0.21787235107421873, 'z': 6.998251452636718}","{'x': -0.8549618320610687, 'y': -2.1526717557251906, 'z': -1.1603053435114503}",51.425500917204914,2025-04-17 13:33:35.378326
"{'x': 5.944802722167968, 'y': 0.2059013427734375, 'z': 6.964732629394531}","{'x': -0.816793893129771, 'y': 0.030534351145038167, 'z': -1.0687022900763359}",51.29820101340366,2025-04-17 13:33:45.384662
"{'x': 5.947196923828125, 'y': 0.21308394775390624, 'z': 7.005434057617187}","{'x': -1.0229007633587786, 'y': -0.1450381679389313, 'z': -0.9694656488549618}",51.31538532556327,2025-04-17 13:33:55.391033
"{'x': 5.57370146484375, 'y': 0.21068974609375, 'z': 7.105990527343749}","{'x': -0.9694656488549618, 'y': -0.46564885496183206, 'z': -1.0305343511450382}",51.431349333430695,2025-04-17 13:34:05.397362
"{'x': 5.614402893066406, 'y': 0.296881005859375, 'z': 7.204152795410156}","{'x': -0.9236641221374046, 'y': -0.3816793893129771, 'z': -1.0381679389312977}",51.482799610954956,2025-04-17 13:34:15.404092
"{'x': 5.542576843261719, 'y': 0.20829554443359374, 'z': 7.132326745605468}","{'x': -1.0458015267175573, 'y': 1.9236641221374047, 'z': -1.0763358778625953}",50.47780835212743,2025-04-17 13:34:25.413713
"{'x': 5.6766521362304685, 'y': 0.22026655273437498, 'z': 7.091625317382812}","{'x': -1.0229007633587786, 'y': -0.16030534351145037, 'z': -0.9007633587786259}",50.48999948240424,2025-04-17 13:34:35.421234
"{'x': 5.552153649902343, 'y': 0.21308394775390624, 'z': 7.067683300781249}","{'x': -0.9541984732824428, 'y': -0.2900763358778626, 'z': -1.0458015267175573}",50.53420811626408,2025-04-17 13:34:45.427638
"{'x': 5.377376928710937, 'y': 0.2059013427734375, 'z': 7.287949853515625}","{'x': -1.015267175572519, 'y': -0.2595419847328244, 'z': -1.083969465648855}",50.55291851780964,2025-04-17 13:34:55.434237
"{'x': 5.413289953613281, 'y': 0.1771709228515625, 'z': 7.232883215332031}","{'x': -0.8015267175572519, 'y': -0.13740458015267176, 'z': -1.1984732824427482}",50.45762871338705,2025-04-17 13:35:05.444596
